CustomerID,CustomerName,Gender,Age,City,State,Segment
C00001,Customer_00001,Male,29,Durgapur,West Bengal,Low Value
C00002,Customer_00002,Female,55,Margao,Goa,Low Value
C00003,Customer_00003,Female,45,Faridabad,Haryana,Medium Value
C00004,Customer_00004,Male,62,Bhopal,Madhya Pradesh,Low Value
C00005,Customer_00005,Male,34,Udaipur,Rajasthan,Medium Value
C00006,Customer_00006,Female,18,Durgapur,West Bengal,Low Value
C00007,Customer_00007,Female,49,Raipur,Chhattisgarh,Medium Value
C00008,Customer_00008,Female,25,Bhopal,Madhya Pradesh,High Value
C00009,Customer_00009,Female,57,Bhopal,Madhya Pradesh,Medium Value
C00010,Customer_00010,Male,60,New Delhi,Delhi,Medium Value
C00011,Customer_00011,Male,63,Jaipur,Rajasthan,Medium Value
C00012,Customer_00012,Female,41,Surat,Gujarat,Medium Value
C00013,Customer_00013,Female,27,Mysuru,Karnataka,Medium Value
C00014,Customer_00014,Female,64,Amritsar,Punjab,Low Value
C00015,Customer_00015,Female,56,Hyderabad,Telangana,High Value
C00016,Customer_00016,Male,56,Bengaluru,Karnataka,Medium Value
C00017,Customer_00017,Female,27,Mumbai,Maharashtra,Low Value
C00018,Customer_00018,Male,53,Amritsar,Punjab,Medium Value
C00019,Customer_00019,Male,42,Amritsar,Punjab,Medium Value
C00020,Customer_00020,Male,27,Ranchi,Jharkhand,Medium Value
C00021,Customer_00021,Male,36,Kochi,Kerala,Medium Value
C00022,Customer_00022,Male,63,Vijayawada,Andhra Pradesh,High Value
C00023,Customer_00023,Male,62,Faridabad,Haryana,Medium Value
C00024,Customer_00024,Male,32,Gurugram,Haryana,Low Value
C00025,Customer_00025,Male,33,Raipur,Chhattisgarh,Medium Value
C00026,Customer_00026,Female,19,Amritsar,Punjab,High Value
C00027,Customer_00027,Male,46,Panaji,Goa,Low Value
C00028,Customer_00028,Male,21,Surat,Gujarat,Medium Value
C00029,Customer_00029,Female,46,Madurai,Tamil Nadu,High Value
C00030,Customer_00030,Female,48,Raipur,Chhattisgarh,Low Value
C00031,Customer_00031,Female,34,Kolkata,West Bengal,High Value
C00032,Customer_00032,Male,27,Lucknow,Uttar Pradesh,Low Value
C00033,Customer_00033,Female,44,Durgapur,West Bengal,Medium Value
C00034,Customer_00034,Male,58,Guwahati,Assam,Low Value
C00035,Customer_00035,Male,32,Delhi,Delhi,Medium Value
C00036,Customer_00036,Male,61,Cuttack,Odisha,Medium Value
C00037,Customer_00037,Female,48,Guwahati,Assam,Low Value
C00038,Customer_00038,Male,38,Kanpur,Uttar Pradesh,Low Value
C00039,Customer_00039,Male,58,Bengaluru,Karnataka,Low Value
C00040,Customer_00040,Male,63,Margao,Goa,Medium Value
C00041,Customer_00041,Female,62,Faridabad,Haryana,Low Value
C00042,Customer_00042,Female,43,Durgapur,West Bengal,Medium Value
C00043,Customer_00043,Male,55,Ludhiana,Punjab,High Value
C00044,Customer_00044,Female,53,Udaipur,Rajasthan,High Value
C00045,Customer_00045,Female,34,Gurugram,Haryana,Low Value
C00046,Customer_00046,Female,20,Surat,Gujarat,Low Value
C00047,Customer_00047,Male,31,Cuttack,Odisha,Medium Value
C00048,Customer_00048,Female,30,Ranchi,Jharkhand,Low Value
C00049,Customer_00049,Male,58,Delhi,Delhi,Low Value
C00050,Customer_00050,Female,44,Guwahati,Assam,Medium Value
C00051,Customer_00051,Male,18,Jodhpur,Rajasthan,High Value
C00052,Customer_00052,Male,34,Delhi,Delhi,Low Value
C00053,Customer_00053,Male,65,Mysuru,Karnataka,High Value
C00054,Customer_00054,Female,51,Hyderabad,Telangana,Medium Value
C00055,Customer_00055,Male,31,Kozhikode,Kerala,Medium Value
C00056,Customer_00056,Female,34,Delhi,Delhi,Medium Value
C00057,Customer_00057,Male,20,Guwahati,Assam,Medium Value
C00058,Customer_00058,Female,51,Amritsar,Punjab,Medium Value
C00059,Customer_00059,Female,57,Mysuru,Karnataka,Low Value
C00060,Customer_00060,Female,42,Kozhikode,Kerala,Medium Value
C00061,Customer_00061,Female,19,Delhi,Delhi,Low Value
C00062,Customer_00062,Female,51,Bhubaneswar,Odisha,Low Value
C00063,Customer_00063,Male,43,Visakhapatnam,Andhra Pradesh,Low Value
C00064,Customer_00064,Female,48,Faridabad,Haryana,Low Value
C00065,Customer_00065,Male,26,Udaipur,Rajasthan,Medium Value
C00066,Customer_00066,Female,47,Bhubaneswar,Odisha,High Value
C00067,Customer_00067,Female,37,Jodhpur,Rajasthan,High Value
C00068,Customer_00068,Male,38,Vijayawada,Andhra Pradesh,Low Value
C00069,Customer_00069,Male,46,Patna,Bihar,Low Value
C00070,Customer_00070,Male,42,Guwahati,Assam,Medium Value
C00071,Customer_00071,Female,55,Faridabad,Haryana,Low Value
C00072,Customer_00072,Female,61,Gaya,Bihar,High Value
C00073,Customer_00073,Female,42,Lucknow,Uttar Pradesh,High Value
C00074,Customer_00074,Female,26,Gurugram,Haryana,Low Value
C00075,Customer_00075,Female,56,Gaya,Bihar,High Value
C00076,Customer_00076,Male,61,Thane,Maharashtra,Medium Value
C00077,Customer_00077,Male,43,Durgapur,West Bengal,Low Value
C00078,Customer_00078,Female,54,Kanpur,Uttar Pradesh,Low Value
C00079,Customer_00079,Female,33,Thane,Maharashtra,Medium Value
C00080,Customer_00080,Female,54,Amritsar,Punjab,Medium Value
C00081,Customer_00081,Male,29,Udaipur,Rajasthan,Medium Value
C00082,Customer_00082,Male,41,Bhopal,Madhya Pradesh,High Value
C00083,Customer_00083,Male,43,Raipur,Chhattisgarh,Low Value
C00084,Customer_00084,Male,37,Jamshedpur,Jharkhand,High Value
C00085,Customer_00085,Male,26,Udaipur,Rajasthan,High Value
C00086,Customer_00086,Female,40,Surat,Gujarat,Medium Value
C00087,Customer_00087,Male,56,Surat,Gujarat,Low Value
C00088,Customer_00088,Female,46,Nashik,Maharashtra,High Value
C00089,Customer_00089,Male,48,Chennai,Tamil Nadu,High Value
C00090,Customer_00090,Female,36,Thiruvananthapuram,Kerala,High Value
C00091,Customer_00091,Male,37,Durgapur,West Bengal,Medium Value
C00092,Customer_00092,Male,40,Noida,Uttar Pradesh,Medium Value
C00093,Customer_00093,Male,60,Durgapur,West Bengal,High Value
C00094,Customer_00094,Female,44,Lucknow,Uttar Pradesh,Low Value
C00095,Customer_00095,Female,47,Jaipur,Rajasthan,Low Value
C00096,Customer_00096,Male,38,Amritsar,Punjab,Low Value
C00097,Customer_00097,Male,61,Bengaluru,Karnataka,Medium Value
C00098,Customer_00098,Female,52,Thane,Maharashtra,Medium Value
C00099,Customer_00099,Male,24,Vijayawada,Andhra Pradesh,Medium Value
C00100,Customer_00100,Male,39,Coimbatore,Tamil Nadu,Medium Value
C00101,Customer_00101,Female,27,Surat,Gujarat,High Value
C00102,Customer_00102,Female,40,Ludhiana,Punjab,Low Value
C00103,Customer_00103,Male,32,Jodhpur,Rajasthan,Medium Value
C00104,Customer_00104,Male,47,Ahmedabad,Gujarat,Medium Value
C00105,Customer_00105,Female,51,Nagpur,Maharashtra,Medium Value
C00106,Customer_00106,Male,30,Vadodara,Gujarat,High Value
C00107,Customer_00107,Male,21,Chennai,Tamil Nadu,Low Value
C00108,Customer_00108,Female,35,Faridabad,Haryana,High Value
C00109,Customer_00109,Female,40,Bhubaneswar,Odisha,Low Value
C00110,Customer_00110,Male,50,Vadodara,Gujarat,Medium Value
C00111,Customer_00111,Other,51,Nashik,Maharashtra,Low Value
C00112,Customer_00112,Female,51,Chennai,Tamil Nadu,Medium Value
C00113,Customer_00113,Male,53,Bhubaneswar,Odisha,Low Value
C00114,Customer_00114,Other,52,Kolkata,West Bengal,Medium Value
C00115,Customer_00115,Male,34,Kanpur,Uttar Pradesh,Medium Value
C00116,Customer_00116,Male,45,Gurugram,Haryana,High Value
C00117,Customer_00117,Female,31,Gurugram,Haryana,Medium Value
C00118,Customer_00118,Male,51,Thiruvananthapuram,Kerala,Medium Value
C00119,Customer_00119,Male,65,Gaya,Bihar,Medium Value
C00120,Customer_00120,Male,28,Raipur,Chhattisgarh,Medium Value
C00121,Customer_00121,Male,30,Kolkata,West Bengal,High Value
C00122,Customer_00122,Female,50,Jamshedpur,Jharkhand,Low Value
C00123,Customer_00123,Female,19,Panaji,Goa,Medium Value
C00124,Customer_00124,Other,51,New Delhi,Delhi,High Value
C00125,Customer_00125,Male,46,Coimbatore,Tamil Nadu,Low Value
C00126,Customer_00126,Male,54,Kolkata,West Bengal,Low Value
C00127,Customer_00127,Male,21,Gaya,Bihar,Low Value
C00128,Customer_00128,Male,29,Faridabad,Haryana,Low Value
C00129,Customer_00129,Male,43,Indore,Madhya Pradesh,High Value
C00130,Customer_00130,Female,45,New Delhi,Delhi,Low Value
C00131,Customer_00131,Female,20,Patna,Bihar,Medium Value
C00132,Customer_00132,Female,37,Durgapur,West Bengal,High Value
C00133,Customer_00133,Male,27,Raipur,Chhattisgarh,Low Value
C00134,Customer_00134,Female,35,Mangaluru,Karnataka,Medium Value
C00135,Customer_00135,Male,44,Kozhikode,Kerala,Medium Value
C00136,Customer_00136,Male,48,Gaya,Bihar,High Value
C00137,Customer_00137,Female,44,Hyderabad,Telangana,Medium Value
C00138,Customer_00138,Female,59,Ludhiana,Punjab,Medium Value
C00139,Customer_00139,Male,18,Ludhiana,Punjab,Medium Value
C00140,Customer_00140,Male,23,Panaji,Goa,High Value
C00141,Customer_00141,Male,28,Indore,Madhya Pradesh,Medium Value
C00142,Customer_00142,Female,51,Kolkata,West Bengal,Medium Value
C00143,Customer_00143,Male,56,Mumbai,Maharashtra,Medium Value
C00144,Customer_00144,Other,37,Nashik,Maharashtra,Low Value
C00145,Customer_00145,Male,38,Panaji,Goa,Medium Value
C00146,Customer_00146,Male,38,Gaya,Bihar,Low Value
C00147,Customer_00147,Male,35,Kanpur,Uttar Pradesh,High Value
C00148,Customer_00148,Female,38,Surat,Gujarat,Medium Value
C00149,Customer_00149,Male,36,Kolkata,West Bengal,High Value
C00150,Customer_00150,Female,21,Warangal,Telangana,Medium Value
C00151,Customer_00151,Female,30,Jaipur,Rajasthan,High Value
C00152,Customer_00152,Female,35,Noida,Uttar Pradesh,Medium Value
C00153,Customer_00153,Female,46,Madurai,Tamil Nadu,Medium Value
C00154,Customer_00154,Female,42,Thane,Maharashtra,Medium Value
C00155,Customer_00155,Female,30,Raipur,Chhattisgarh,Medium Value
C00156,Customer_00156,Female,44,Kochi,Kerala,Low Value
C00157,Customer_00157,Male,36,Ludhiana,Punjab,Medium Value
C00158,Customer_00158,Male,18,Faridabad,Haryana,Low Value
C00159,Customer_00159,Male,55,Noida,Uttar Pradesh,Low Value
C00160,Customer_00160,Male,36,Panaji,Goa,Medium Value
C00161,Customer_00161,Male,18,Ranchi,Jharkhand,Low Value
C00162,Customer_00162,Female,57,Jamshedpur,Jharkhand,Low Value
C00163,Customer_00163,Male,34,Margao,Goa,Medium Value
C00164,Customer_00164,Male,38,Ludhiana,Punjab,Low Value
C00165,Customer_00165,Female,39,Kolkata,West Bengal,Low Value
C00166,Customer_00166,Male,32,Mangaluru,Karnataka,Medium Value
C00167,Customer_00167,Male,56,Ahmedabad,Gujarat,Medium Value
C00168,Customer_00168,Male,65,Jamshedpur,Jharkhand,Low Value
C00169,Customer_00169,Male,56,Madurai,Tamil Nadu,Low Value
C00170,Customer_00170,Male,49,Ranchi,Jharkhand,High Value
C00171,Customer_00171,Female,21,Jamshedpur,Jharkhand,High Value
C00172,Customer_00172,Female,61,Jamshedpur,Jharkhand,Low Value
C00173,Customer_00173,Male,62,Mangaluru,Karnataka,High Value
C00174,Customer_00174,Male,49,Mangaluru,Karnataka,Low Value
C00175,Customer_00175,Male,21,Madurai,Tamil Nadu,Medium Value
C00176,Customer_00176,Female,18,Nagpur,Maharashtra,High Value
C00177,Customer_00177,Male,50,Thane,Maharashtra,High Value
C00178,Customer_00178,Male,24,Raipur,Chhattisgarh,Medium Value
C00179,Customer_00179,Female,26,Mysuru,Karnataka,High Value
C00180,Customer_00180,Male,18,Amritsar,Punjab,Medium Value
C00181,Customer_00181,Male,33,Warangal,Telangana,Medium Value
C00182,Customer_00182,Male,35,New Delhi,Delhi,Medium Value
C00183,Customer_00183,Female,64,Bhopal,Madhya Pradesh,Low Value
C00184,Customer_00184,Female,23,Jamshedpur,Jharkhand,Medium Value
C00185,Customer_00185,Female,19,Hyderabad,Telangana,Medium Value
C00186,Customer_00186,Male,26,Chennai,Tamil Nadu,Medium Value
C00187,Customer_00187,Female,21,Panaji,Goa,Medium Value
C00188,Customer_00188,Female,62,Mysuru,Karnataka,Low Value
C00189,Customer_00189,Female,40,Hyderabad,Telangana,Low Value
C00190,Customer_00190,Male,60,Indore,Madhya Pradesh,Medium Value
C00191,Customer_00191,Female,62,Visakhapatnam,Andhra Pradesh,Low Value
C00192,Customer_00192,Male,60,Visakhapatnam,Andhra Pradesh,Medium Value
C00193,Customer_00193,Male,25,Pune,Maharashtra,High Value
C00194,Customer_00194,Female,56,Lucknow,Uttar Pradesh,Medium Value
C00195,Customer_00195,Male,42,Warangal,Telangana,Low Value
C00196,Customer_00196,Female,33,Vijayawada,Andhra Pradesh,Medium Value
C00197,Customer_00197,Male,52,Ahmedabad,Gujarat,Low Value
C00198,Customer_00198,Female,34,Margao,Goa,Medium Value
C00199,Customer_00199,Female,35,New Delhi,Delhi,Medium Value
C00200,Customer_00200,Female,44,Raipur,Chhattisgarh,Low Value
C00201,Customer_00201,Male,32,Ahmedabad,Gujarat,Medium Value
C00202,Customer_00202,Male,34,Raipur,Chhattisgarh,Low Value
C00203,Customer_00203,Female,60,Panaji,Goa,Low Value
C00204,Customer_00204,Male,22,Durgapur,West Bengal,Low Value
C00205,Customer_00205,Female,33,Panaji,Goa,High Value
C00206,Customer_00206,Female,32,Lucknow,Uttar Pradesh,Medium Value
C00207,Customer_00207,Male,59,Nagpur,Maharashtra,Low Value
C00208,Customer_00208,Male,63,Jaipur,Rajasthan,Medium Value
C00209,Customer_00209,Male,51,Durgapur,West Bengal,Medium Value
C00210,Customer_00210,Female,65,Guwahati,Assam,High Value
C00211,Customer_00211,Male,36,Jaipur,Rajasthan,Medium Value
C00212,Customer_00212,Male,25,Nashik,Maharashtra,Medium Value
C00213,Customer_00213,Male,64,Indore,Madhya Pradesh,Medium Value
C00214,Customer_00214,Female,27,Guwahati,Assam,Medium Value
C00215,Customer_00215,Male,22,Thiruvananthapuram,Kerala,High Value
C00216,Customer_00216,Male,65,Vadodara,Gujarat,High Value
C00217,Customer_00217,Female,43,Durgapur,West Bengal,Low Value
C00218,Customer_00218,Female,39,Visakhapatnam,Andhra Pradesh,Low Value
C00219,Customer_00219,Female,61,Visakhapatnam,Andhra Pradesh,High Value
C00220,Customer_00220,Male,40,Panaji,Goa,Medium Value
C00221,Customer_00221,Male,30,Ranchi,Jharkhand,Medium Value
C00222,Customer_00222,Female,26,Bengaluru,Karnataka,Medium Value
C00223,Customer_00223,Male,37,Nashik,Maharashtra,Low Value
C00224,Customer_00224,Female,45,Visakhapatnam,Andhra Pradesh,Low Value
C00225,Customer_00225,Female,61,Amritsar,Punjab,Low Value
C00226,Customer_00226,Male,54,Madurai,Tamil Nadu,Medium Value
C00227,Customer_00227,Female,41,Chennai,Tamil Nadu,Medium Value
C00228,Customer_00228,Female,61,Lucknow,Uttar Pradesh,Medium Value
C00229,Customer_00229,Male,50,Kanpur,Uttar Pradesh,High Value
C00230,Customer_00230,Female,37,Vadodara,Gujarat,High Value
C00231,Customer_00231,Male,65,Raipur,Chhattisgarh,High Value
C00232,Customer_00232,Male,47,Visakhapatnam,Andhra Pradesh,Medium Value
C00233,Customer_00233,Male,61,Vijayawada,Andhra Pradesh,Medium Value
C00234,Customer_00234,Female,26,Surat,Gujarat,High Value
C00235,Customer_00235,Female,62,Margao,Goa,Medium Value
C00236,Customer_00236,Female,34,Nagpur,Maharashtra,Low Value
C00237,Customer_00237,Male,53,Margao,Goa,High Value
C00238,Customer_00238,Female,31,Indore,Madhya Pradesh,Medium Value
C00239,Customer_00239,Male,36,Ranchi,Jharkhand,High Value
C00240,Customer_00240,Female,24,Jaipur,Rajasthan,Low Value
C00241,Customer_00241,Male,20,Delhi,Delhi,Medium Value
C00242,Customer_00242,Male,50,Hyderabad,Telangana,Low Value
C00243,Customer_00243,Male,61,Jodhpur,Rajasthan,Medium Value
C00244,Customer_00244,Female,49,Margao,Goa,Low Value
C00245,Customer_00245,Male,64,Vadodara,Gujarat,Medium Value
C00246,Customer_00246,Female,28,Visakhapatnam,Andhra Pradesh,Medium Value
C00247,Customer_00247,Male,59,Vadodara,Gujarat,High Value
C00248,Customer_00248,Male,19,Guwahati,Assam,Medium Value
C00249,Customer_00249,Male,43,Bhubaneswar,Odisha,Low Value
C00250,Customer_00250,Female,21,Guwahati,Assam,Medium Value
C00251,Customer_00251,Female,34,Mangaluru,Karnataka,Medium Value
C00252,Customer_00252,Male,34,Surat,Gujarat,Low Value
C00253,Customer_00253,Male,45,Visakhapatnam,Andhra Pradesh,Medium Value
C00254,Customer_00254,Male,47,Kanpur,Uttar Pradesh,Low Value
C00255,Customer_00255,Female,57,Delhi,Delhi,High Value
C00256,Customer_00256,Male,40,Nagpur,Maharashtra,Low Value
C00257,Customer_00257,Female,63,New Delhi,Delhi,High Value
C00258,Customer_00258,Female,41,Pune,Maharashtra,Medium Value
C00259,Customer_00259,Male,46,Bhubaneswar,Odisha,Medium Value
C00260,Customer_00260,Female,21,Visakhapatnam,Andhra Pradesh,Medium Value
C00261,Customer_00261,Female,55,Margao,Goa,Medium Value
C00262,Customer_00262,Female,46,Udaipur,Rajasthan,Medium Value
C00263,Customer_00263,Male,36,Durgapur,West Bengal,Low Value
C00264,Customer_00264,Male,44,Surat,Gujarat,Low Value
C00265,Customer_00265,Male,46,Ranchi,Jharkhand,Low Value
C00266,Customer_00266,Male,53,Pune,Maharashtra,Low Value
C00267,Customer_00267,Male,52,Vijayawada,Andhra Pradesh,Low Value
C00268,Customer_00268,Male,23,Ludhiana,Punjab,Low Value
C00269,Customer_00269,Female,40,Raipur,Chhattisgarh,Low Value
C00270,Customer_00270,Male,56,Bhubaneswar,Odisha,Medium Value
C00271,Customer_00271,Male,63,Warangal,Telangana,Low Value
C00272,Customer_00272,Male,61,Warangal,Telangana,Low Value
C00273,Customer_00273,Female,65,Patna,Bihar,Low Value
C00274,Customer_00274,Female,25,Raipur,Chhattisgarh,Medium Value
C00275,Customer_00275,Male,19,Udaipur,Rajasthan,High Value
C00276,Customer_00276,Male,30,Mangaluru,Karnataka,Low Value
C00277,Customer_00277,Female,57,Nagpur,Maharashtra,Low Value
C00278,Customer_00278,Male,38,Gurugram,Haryana,Medium Value
C00279,Customer_00279,Male,48,Thane,Maharashtra,High Value
C00280,Customer_00280,Male,65,Chennai,Tamil Nadu,Medium Value
C00281,Customer_00281,Male,53,Vijayawada,Andhra Pradesh,Medium Value
C00282,Customer_00282,Male,65,Raipur,Chhattisgarh,Medium Value
C00283,Customer_00283,Female,55,Delhi,Delhi,Medium Value
C00284,Customer_00284,Female,44,Surat,Gujarat,Low Value
C00285,Customer_00285,Male,53,Jamshedpur,Jharkhand,Low Value
C00286,Customer_00286,Female,65,Jamshedpur,Jharkhand,Medium Value
C00287,Customer_00287,Male,40,Ludhiana,Punjab,Low Value
C00288,Customer_00288,Male,38,Bhubaneswar,Odisha,Medium Value
