ProductID,ProductName,Category,SubCategory,Brand,UnitCost,UnitPrice
P0001,Home Decor Product 001,Home & Kitchen,Home Decor,HomeCentre,38200.18,60520.08
P0002,Dog Supplies Product 002,Pet Supplies,Dog Supplies,Pedigree,4636.9,6357.38
P0003,Dog Supplies Product 003,Pet Supplies,Dog Supplies,Drools,37536.67,48714.02
P0004,Accessories Product 004,Fashion,Accessories,Roadster,44793.75,61049.79
P0005,Comics Product 005,Books,Comics,Penguin,47447.72,68196.09
P0006,Skincare Product 006,Beauty,Skincare,Nivea,42362.96,49942.81
P0007,Laptops Product 007,Electronics,Laptops,Samsung,2483.68,3233.38
P0008,Comics Product 008,Books,Comics,HarperCollins,37283.83,58498.42
P0009,Outdoor Toys Product 009,Toys,Outdoor Toys,Mattel,24182.15,36739.59
P0010,Laptops Product 010,Electronics,Laptops,Dell,31608.31,48314.82
P0011,Laptops Product 011,Electronics,Laptops,Apple,1788.21,2177.96
P0012,Educational Product 012,Toys,Educational,Hasbro,39731.09,63488.91
P0013,Non-Fiction Product 013,Books,Non-Fiction,Penguin,12199.43,16027.95
P0014,Action Product 014,Toys,Action,Funskool,43212.88,57051.08
P0015,Comics Product 015,Books,Comics,Penguin,1253.64,1578.86
P0016,Beverages Product 016,Grocery,Beverages,Britannia,28303.7,34321.1
P0017,Bike Accessories Product 017,Automotive,Bike Accessories,Michelin,29044.58,36825.06
P0018,Non-Fiction Product 018,Books,Non-Fiction,Oxford,10210.71,15581.78
P0019,Women Clothing Product 019,Fashion,Women Clothing,Nike,42489.29,55249.93
P0020,Beverages Product 020,Grocery,Beverages,Tata,25875.68,41533.41
P0021,Sportswear Product 021,Sports,Sportswear,Puma,39462.59,65009.87
P0022,Accessories Product 022,Electronics,Accessories,Sony,44788.86,71790.82
P0023,Equipment Product 023,Sports,Equipment,Yonex,35533.83,42198.71
P0024,Household Product 024,Grocery,Household,Britannia,47504.64,62676.53
P0025,Household Product 025,Grocery,Household,ITC,20874.04,30210.98
P0026,Women Clothing Product 026,Fashion,Women Clothing,Puma,14887.35,22274.01
P0027,Food Product 027,Pet Supplies,Food,Whiskas,20822.18,32131.68
P0028,Bike Accessories Product 028,Automotive,Bike Accessories,3M,25434.6,32317.5
P0029,Action Product 029,Toys,Action,Mattel,23699.14,29631.91
P0030,Action Product 030,Toys,Action,Mattel,28283.7,45877.1
P0031,Accessories Product 031,Fashion,Accessories,Levis,20566.5,30147.3
P0032,Board Games Product 032,Toys,Board Games,Mattel,6017.5,9767.61
P0033,Mobiles Product 033,Electronics,Mobiles,Apple,39139.27,57454.43
P0034,Haircare Product 034,Beauty,Haircare,Lakme,31374.3,38138.99
P0035,Tools Product 035,Automotive,Tools,Michelin,32655.48,45038.66
P0036,Equipment Product 036,Sports,Equipment,Adidas,36612.7,60019.13
P0037,Skincare Product 037,Beauty,Skincare,Mamaearth,16649.16,22993.19
P0038,Household Product 038,Grocery,Household,Nestle,25024.86,33902.69
P0039,Grooming Product 039,Pet Supplies,Grooming,Drools,27852.79,40478.77
P0040,Sportswear Product 040,Sports,Sportswear,Yonex,26485.36,38615.38
P0041,Household Product 041,Grocery,Household,Tata,15618.96,18351.08
P0042,Dog Supplies Product 042,Pet Supplies,Dog Supplies,Whiskas,24468.07,39215.72
P0043,Comics Product 043,Books,Comics,Oxford,9024.09,13871.38
P0044,Educational Product 044,Toys,Educational,Hasbro,49961.25,78681.89
P0045,Accessories Product 045,Fashion,Accessories,Puma,32651.74,47363.46
P0046,Food Product 046,Pet Supplies,Food,Royal Canin,5935.77,9476.07
P0047,Care Product 047,Automotive,Care,Michelin,19431.1,31801.68
P0048,Fiction Product 048,Books,Fiction,Pearson,12540.6,16307.11
P0049,Snacks Product 049,Grocery,Snacks,Nestle,32230.24,43409.39
P0050,Equipment Product 050,Sports,Equipment,Adidas,22795.25,35413.93
P0051,Food Product 051,Pet Supplies,Food,Whiskas,3740.53,4386.54
P0052,Cat Supplies Product 052,Pet Supplies,Cat Supplies,Royal Canin,6682.45,10593.9
P0053,Comics Product 053,Books,Comics,Pearson,45291.3,64415.87
P0054,Comics Product 054,Books,Comics,Penguin,45614.71,74633.16
P0055,Accessories Product 055,Fashion,Accessories,Adidas,15563.25,22033.7
P0056,Car Accessories Product 056,Automotive,Car Accessories,Bosch,36838.35,52127.98
P0057,Equipment Product 057,Sports,Equipment,Adidas,42842.86,65755.29
P0058,Dog Supplies Product 058,Pet Supplies,Dog Supplies,Royal Canin,47660.43,56240.17
P0059,Furniture Product 059,Home & Kitchen,Furniture,Whirlpool,7451.57,11802.2
P0060,Kitchen Product 060,Home & Kitchen,Kitchen,IKEA,11869.59,18863.02
P0061,Home Decor Product 061,Home & Kitchen,Home Decor,Philips,11152.07,13088.9
P0062,Board Games Product 062,Toys,Board Games,Mattel,20783.39,31988.59
P0063,Footwear Product 063,Fashion,Footwear,Adidas,30808.49,37302.66
P0064,Staples Product 064,Grocery,Staples,Nestle,31147.93,48548.63
P0065,Household Product 065,Grocery,Household,Amul,32704.84,40645.82
P0066,Academic Product 066,Books,Academic,Penguin,49517.76,75218.51
P0067,Audio Product 067,Electronics,Audio,Apple,38483.85,49675.64
P0068,Grooming Product 068,Pet Supplies,Grooming,Royal Canin,43943.82,64246.3
P0069,Makeup Product 069,Beauty,Makeup,Mamaearth,14366.99,22217.58
P0070,Academic Product 070,Books,Academic,Oxford,20465.19,25134.47
P0071,Outdoor Toys Product 071,Toys,Outdoor Toys,LEGO,11790.57,18322.61
P0072,Staples Product 072,Grocery,Staples,Tata,15347.33,19349.13
P0073,Personal Care Product 073,Beauty,Personal Care,Lakme,22090.62,32202.47
P0074,Academic Product 074,Books,Academic,Oxford,28744.25,40354.34
P0075,Women Clothing Product 075,Fashion,Women Clothing,Nike,46024.24,67379.9
P0076,Snacks Product 076,Grocery,Snacks,Nestle,29899.89,39678.14
P0077,Dog Supplies Product 077,Pet Supplies,Dog Supplies,Whiskas,11624.21,17821.26
P0078,Beverages Product 078,Grocery,Beverages,ITC,49867.63,76967.67
P0079,Sportswear Product 079,Sports,Sportswear,Adidas,32763.61,47621.91
P0080,Outdoor Product 080,Sports,Outdoor,Decathlon,40348.61,61764.66
P0081,Car Accessories Product 081,Automotive,Car Accessories,Bosch,21112.44,33089.48
P0082,Sportswear Product 082,Sports,Sportswear,Adidas,25992.15,41737.53
P0083,Educational Product 083,Toys,Educational,LEGO,45664.78,62492.17
P0084,Outdoor Product 084,Sports,Outdoor,Decathlon,40789.6,65211.86
P0085,Kitchen Product 085,Home & Kitchen,Kitchen,Prestige,22441.03,36094.5
P0086,Haircare Product 086,Beauty,Haircare,Maybelline,12735.59,16422.13
P0087,Home Decor Product 087,Home & Kitchen,Home Decor,IKEA,35008.85,42510.69
P0088,Academic Product 088,Books,Academic,Penguin,25113.86,33680.44
P0089,Comics Product 089,Books,Comics,Pearson,9669.84,13637.25
P0090,Skincare Product 090,Beauty,Skincare,Lakme,30511.95,38421.72
P0091,Board Games Product 091,Toys,Board Games,Mattel,33443.91,46340.89
P0092,Men Clothing Product 092,Fashion,Men Clothing,Roadster,37943.2,44274.59
P0093,Educational Product 093,Toys,Educational,LEGO,10356.28,16652.16
P0094,Haircare Product 094,Beauty,Haircare,Lakme,3289.45,5219.27
P0095,Action Product 095,Toys,Action,LEGO,9055.88,11074.01
P0096,Home Decor Product 096,Home & Kitchen,Home Decor,Prestige,41488.24,49318.64
P0097,Laptops Product 097,Electronics,Laptops,Sony,46508.68,73406.83
P0098,Sportswear Product 098,Sports,Sportswear,Adidas,30134.28,40700.2
P0099,Haircare Product 099,Beauty,Haircare,Nivea,47033.39,72469.28
P0100,Personal Care Product 100,Beauty,Personal Care,Nivea,38062.62,61581.76
P0101,Non-Fiction Product 101,Books,Non-Fiction,Oxford,6446.55,8525.37
P0102,Kitchen Product 102,Home & Kitchen,Kitchen,Whirlpool,39532.83,54134.51
P0103,Footwear Product 103,Fashion,Footwear,Roadster,29147.28,45998.73
P0104,Laptops Product 104,Electronics,Laptops,Lenovo,28361.8,36877.85
P0105,Personal Care Product 105,Beauty,Personal Care,Mamaearth,2218.35,2845.48
P0106,Action Product 106,Toys,Action,Mattel,28809.39,46383.35
P0107,Sportswear Product 107,Sports,Sportswear,Adidas,1286.96,1655.19
P0108,Personal Care Product 108,Beauty,Personal Care,Mamaearth,21891.93,26462.6
P0109,Makeup Product 109,Beauty,Makeup,Loreal,24372.03,37288.8
P0110,Dog Supplies Product 110,Pet Supplies,Dog Supplies,Royal Canin,35506.72,48321.07
P0111,Grooming Product 111,Pet Supplies,Grooming,Pedigree,5787.89,7702.05
P0112,Food Product 112,Pet Supplies,Food,Royal Canin,11301.08,17084.74
P0113,Personal Care Product 113,Beauty,Personal Care,Nivea,10533.04,16294.29
P0114,Board Games Product 114,Toys,Board Games,LEGO,21739.76,29835.68
P0115,Men Clothing Product 115,Fashion,Men Clothing,Levis,27463.54,44307.51
P0116,Comics Product 116,Books,Comics,Pearson,31731.41,50033.0
P0117,Accessories Product 117,Fashion,Accessories,Nike,4825.85,7125.57
P0118,Snacks Product 118,Grocery,Snacks,Nestle,30520.93,44400.35
P0119,Grooming Product 119,Pet Supplies,Grooming,Drools,15519.92,22646.01
P0120,Educational Product 120,Toys,Educational,Mattel,13496.7,17426.34
P0121,Accessories Product 121,Fashion,Accessories,Nike,13193.2,16749.71
P0122,Makeup Product 122,Beauty,Makeup,Maybelline,46106.51,72838.32
P0123,Makeup Product 123,Beauty,Makeup,Maybelline,33839.37,49490.47
P0124,Dog Supplies Product 124,Pet Supplies,Dog Supplies,Pedigree,22958.73,30092.17
P0125,Grooming Product 125,Pet Supplies,Grooming,Whiskas,26251.49,31874.51
P0126,Fitness Product 126,Sports,Fitness,Yonex,48986.46,59237.56
P0127,Fitness Product 127,Sports,Fitness,Nike,24213.1,29487.16
P0128,Laptops Product 128,Electronics,Laptops,Lenovo,46425.01,58911.86
P0129,Haircare Product 129,Beauty,Haircare,Loreal,40360.81,58240.03
P0130,Home Decor Product 130,Home & Kitchen,Home Decor,Prestige,39574.18,51733.76
P0131,Action Product 131,Toys,Action,Hasbro,42917.84,59734.98
P0132,Haircare Product 132,Beauty,Haircare,Mamaearth,5161.5,6220.35
P0133,Equipment Product 133,Sports,Equipment,Puma,41536.67,49196.78
P0134,Bike Accessories Product 134,Automotive,Bike Accessories,Castrol,20336.55,23644.2
P0135,Bike Accessories Product 135,Automotive,Bike Accessories,Michelin,34816.11,56593.37
P0136,Accessories Product 136,Electronics,Accessories,Apple,24376.19,33228.64
P0137,Women Clothing Product 137,Fashion,Women Clothing,Adidas,44020.83,56227.31
P0138,Fitness Product 138,Sports,Fitness,Yonex,49722.34,73392.87
P0139,Bike Accessories Product 139,Automotive,Bike Accessories,Castrol,45567.03,74479.35
P0140,Appliances Product 140,Home & Kitchen,Appliances,Philips,49789.65,70410.62
P0141,Board Games Product 141,Toys,Board Games,Funskool,6376.46,10447.39
P0142,Care Product 142,Automotive,Care,3M,14539.7,17646.99
P0143,Equipment Product 143,Sports,Equipment,Nike,35541.26,44046.66
P0144,Outdoor Product 144,Sports,Outdoor,Adidas,3685.03,4852.11
P0145,Women Clothing Product 145,Fashion,Women Clothing,Roadster,32088.46,37907.26
P0146,Fiction Product 146,Books,Fiction,Penguin,220.87,317.99
P0147,Food Product 147,Pet Supplies,Food,Royal Canin,1859.11,2980.54
P0148,Snacks Product 148,Grocery,Snacks,Tata,24181.85,28351.62
P0149,Women Clothing Product 149,Fashion,Women Clothing,Roadster,12409.44,15426.37
P0150,Skincare Product 150,Beauty,Skincare,Maybelline,6777.67,8267.78
P0151,Food Product 151,Pet Supplies,Food,Drools,29662.44,38485.58
P0152,Educational Product 152,Toys,Educational,Mattel,14738.6,21286.6
P0153,Personal Care Product 153,Beauty,Personal Care,Lakme,2947.16,4283.53
P0154,Appliances Product 154,Home & Kitchen,Appliances,HomeCentre,47127.71,68556.87
P0155,Haircare Product 155,Beauty,Haircare,Lakme,23070.15,37833.79
P0156,Furniture Product 156,Home & Kitchen,Furniture,IKEA,11302.73,15553.53
P0157,Beverages Product 157,Grocery,Beverages,Britannia,38214.72,45290.76
P0158,Fitness Product 158,Sports,Fitness,Nike,38580.14,47584.99
P0159,Car Accessories Product 159,Automotive,Car Accessories,Michelin,9054.79,12243.78
P0160,Sportswear Product 160,Sports,Sportswear,Puma,43378.13,53390.16
P0161,Equipment Product 161,Sports,Equipment,Nike,34513.64,46471.58
P0162,Appliances Product 162,Home & Kitchen,Appliances,HomeCentre,7435.81,11635.87
P0163,Fitness Product 163,Sports,Fitness,Nike,46813.92,73556.16
P0164,Accessories Product 164,Electronics,Accessories,Samsung,28750.52,37684.02
P0165,Cat Supplies Product 165,Pet Supplies,Cat Supplies,Royal Canin,23671.2,33123.09
P0166,Dog Supplies Product 166,Pet Supplies,Dog Supplies,Drools,34729.8,46701.4
P0167,Accessories Product 167,Electronics,Accessories,HP,47464.01,77108.92
P0168,Tools Product 168,Automotive,Tools,Bosch,5168.22,7091.8
P0169,Tools Product 169,Automotive,Tools,3M,6848.33,9215.18
P0170,Bike Accessories Product 170,Automotive,Bike Accessories,Michelin,43411.22,51946.11
P0171,Food Product 171,Pet Supplies,Food,Pedigree,2722.39,3292.86
P0172,Food Product 172,Pet Supplies,Food,Whiskas,4213.33,4930.44
P0173,Comics Product 173,Books,Comics,Pearson,26159.56,35537.79
P0174,Care Product 174,Automotive,Care,3M,36057.96,56090.28
P0175,Men Clothing Product 175,Fashion,Men Clothing,Nike,8530.13,12941.59
P0176,Cat Supplies Product 176,Pet Supplies,Cat Supplies,Drools,9361.69,13239.62
P0177,Board Games Product 177,Toys,Board Games,LEGO,23081.6,33743.07
P0178,Haircare Product 178,Beauty,Haircare,Mamaearth,40795.4,60109.56
P0179,Haircare Product 179,Beauty,Haircare,Nivea,42420.34,51988.25
P0180,Dog Supplies Product 180,Pet Supplies,Dog Supplies,Pedigree,19638.44,24988.82
P0181,Care Product 181,Automotive,Care,3M,23622.32,35047.16
P0182,Equipment Product 182,Sports,Equipment,Adidas,25523.88,33387.51
P0183,Laptops Product 183,Electronics,Laptops,HP,15840.22,24024.55
P0184,Haircare Product 184,Beauty,Haircare,Mamaearth,49132.0,73507.22
P0185,Bike Accessories Product 185,Automotive,Bike Accessories,Michelin,28376.18,45683.49
P0186,Tools Product 186,Automotive,Tools,Castrol,44098.5,57969.76
P0187,Men Clothing Product 187,Fashion,Men Clothing,Roadster,21861.29,35699.24
P0188,Furniture Product 188,Home & Kitchen,Furniture,IKEA,21446.09,30857.66
P0189,Academic Product 189,Books,Academic,Penguin,47677.09,62260.82
P0190,Academic Product 190,Books,Academic,Pearson,20335.15,31566.48
P0191,Grooming Product 191,Pet Supplies,Grooming,Whiskas,49868.26,64629.47
P0192,Food Product 192,Pet Supplies,Food,Pedigree,2057.47,3263.59
P0193,Non-Fiction Product 193,Books,Non-Fiction,Penguin,49239.37,68991.25
P0194,Action Product 194,Toys,Action,Hasbro,23672.95,32540.11
P0195,Personal Care Product 195,Beauty,Personal Care,Mamaearth,19154.57,27032.32
P0196,Action Product 196,Toys,Action,Funskool,906.04,1372.58
P0197,Household Product 197,Grocery,Household,Nestle,32255.36,52940.88
P0198,Action Product 198,Toys,Action,LEGO,23619.35,37736.18
P0199,Kitchen Product 199,Home & Kitchen,Kitchen,IKEA,45346.78,56261.48
P0200,Accessories Product 200,Fashion,Accessories,Nike,2238.02,2885.95
P0201,Bike Accessories Product 201,Automotive,Bike Accessories,Michelin,4485.89,6212.17
P0202,Beverages Product 202,Grocery,Beverages,Nestle,6165.57,10143.46
P0203,Accessories Product 203,Electronics,Accessories,Dell,23896.77,35238.83
P0204,Cat Supplies Product 204,Pet Supplies,Cat Supplies,Drools,5910.81,9287.74
P0205,Staples Product 205,Grocery,Staples,Tata,574.79,696.08
P0206,Care Product 206,Automotive,Care,Michelin,45298.37,61292.54
P0207,Women Clothing Product 207,Fashion,Women Clothing,Roadster,34491.32,41962.46
P0208,Home Decor Product 208,Home & Kitchen,Home Decor,Whirlpool,38705.31,46515.82
P0209,Sportswear Product 209,Sports,Sportswear,Puma,8654.59,12502.66
P0210,Care Product 210,Automotive,Care,3M,46704.86,62299.02
P0211,Beverages Product 211,Grocery,Beverages,Nestle,27367.75,36595.34
P0212,Academic Product 212,Books,Academic,Pearson,14213.26,20170.59
P0213,Accessories Product 213,Electronics,Accessories,HP,32432.62,45047.01
P0214,Academic Product 214,Books,Academic,HarperCollins,10370.21,11934.05
P0215,Personal Care Product 215,Beauty,Personal Care,Maybelline,34530.98,47981.26
P0216,Staples Product 216,Grocery,Staples,Nestle,10600.05,17093.04
P0217,Skincare Product 217,Beauty,Skincare,Nivea,40858.62,56493.43
P0218,Non-Fiction Product 218,Books,Non-Fiction,Oxford,14200.27,20511.42
P0219,Appliances Product 219,Home & Kitchen,Appliances,IKEA,1950.46,2836.49
P0220,Kitchen Product 220,Home & Kitchen,Kitchen,Prestige,10553.72,14277.05
P0221,Fitness Product 221,Sports,Fitness,Nike,29275.51,34224.43
P0222,Fitness Product 222,Sports,Fitness,Puma,49854.18,81117.51
P0223,Makeup Product 223,Beauty,Makeup,Mamaearth,6907.17,8444.28
P0224,Accessories Product 224,Electronics,Accessories,HP,30605.95,35821.72
P0225,Men Clothing Product 225,Fashion,Men Clothing,Adidas,19131.26,26931.29
P0226,Care Product 226,Automotive,Care,Bosch,46417.77,61171.32
P0227,Household Product 227,Grocery,Household,Amul,32352.14,48165.3
P0228,Skincare Product 228,Beauty,Skincare,Loreal,44048.85,70405.17
P0229,Fiction Product 229,Books,Fiction,Pearson,33834.14,42681.53
P0230,Footwear Product 230,Fashion,Footwear,Levis,29852.37,34533.43
P0231,Outdoor Product 231,Sports,Outdoor,Puma,15306.66,24795.46
