OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,Discount,SalesAmount,CostAmount,Profit,PaymentID,ShippingID,OrderStatus
O000001,2025-05-23,C04458,P0051,1,4386.54,15,3728.56,3740.53,-11.97,PM001,S002,Delivered
O000002,2024-07-19,C03884,P0337,2,20718.55,10,37293.39,31425.22,5868.17,PM001,S001,Delivered
O000003,2024-01-05,C02620,P0258,2,24826.11,15,42204.39,41966.84,237.55,PM003,S001,Delivered
O000004,2024-07-29,C00995,P0010,2,48314.82,0,96629.64,63216.62,33413.02,PM001,S001,Returned
O000005,2024-01-29,C00769,P0453,2,39356.95,10,70842.51,47823.4,23019.11,PM003,S001,Delivered
O000006,2024-07-08,C00545,P0103,2,45998.73,0,91997.46,58294.56,33702.9,PM001,S001,Delivered
O000007,2024-07-06,C00932,P0134,1,23644.2,15,20097.57,20336.55,-238.98,PM005,S001,Pending
O000008,2024-05-29,C00091,P0190,1,31566.48,10,28409.83,20335.15,8074.68,PM002,S003,Delivered
O000009,2025-06-08,C04334,P0066,5,75218.51,10,338483.3,247588.8,90894.5,PM002,S002,Delivered
O000010,2024-12-31,C00851,P0264,1,37276.08,0,37276.08,24135.05,13141.03,PM001,S001,Delivered
O000011,2024-06-05,C02969,P0324,2,45431.01,15,77232.72,72623.94,4608.78,PM001,S001,Delivered
O000012,2024-03-20,C04873,P0187,1,35699.24,0,35699.24,21861.29,13837.95,PM002,S001,Delivered
O000013,2024-09-29,C03078,P0306,2,22520.05,0,45040.1,32669.48,12370.62,PM004,S001,Delivered
O000014,2025-10-21,C02660,P0351,1,54337.77,0,54337.77,37447.32,16890.45,PM005,S001,Delivered
O000015,2025-12-18,C00634,P0292,1,32192.91,0,32192.91,26153.66,6039.25,PM001,S001,Delivered
O000016,2025-09-17,C03229,P0136,5,33228.64,15,141221.72,121880.95,19340.77,PM004,S001,Delivered
O000017,2025-06-01,C01225,P0095,2,11074.01,10,19933.22,18111.76,1821.46,PM001,S003,Delivered
O000018,2024-08-19,C01249,P0401,2,55276.41,10,99497.54,70915.2,28582.34,PM004,S001,Delivered
O000019,2025-10-10,C00983,P0187,2,35699.24,10,64258.63,43722.58,20536.05,PM001,S001,Delivered
O000020,2024-06-08,C02511,P0494,1,36572.73,10,32915.46,28758.0,4157.46,PM001,S002,Delivered
O000021,2024-12-09,C03851,P0232,2,34238.94,10,61630.09,43186.04,18444.05,PM003,S003,Delivered
O000022,2024-10-15,C04759,P0334,2,52187.92,0,104375.84,90672.78,13703.06,PM004,S001,Delivered
O000023,2024-07-23,C03994,P0392,1,5979.52,5,5680.54,4894.27,786.27,PM001,S002,Delivered
O000024,2024-10-31,C00990,P0378,2,50544.92,0,101089.84,66361.28,34728.56,PM001,S002,Delivered
O000025,2024-12-25,C01617,P0345,1,23097.74,15,19633.08,19801.28,-168.2,PM004,S002,Delivered
O000026,2025-10-31,C00425,P0206,2,61292.54,25,91938.81,90596.74,1342.07,PM003,S002,Delivered
O000027,2025-02-03,C01431,P0471,2,52112.51,15,88591.27,66232.7,22358.57,PM004,S003,Delivered
O000028,2025-03-24,C01636,P0299,1,9679.34,0,9679.34,8342.38,1336.96,PM001,S001,Delivered
O000029,2024-04-15,C04201,P0233,1,55697.89,10,50128.1,48122.62,2005.48,PM004,S001,Delivered
O000030,2024-03-22,C00178,P0063,3,37302.66,0,111907.98,92425.47,19482.51,PM002,S001,Delivered
O000031,2024-12-07,C03777,P0337,2,20718.55,5,39365.24,31425.22,7940.02,PM004,S001,Delivered
O000032,2025-02-24,C00720,P0369,2,45429.44,0,90858.88,74245.24,16613.64,PM001,S001,Delivered
O000033,2024-02-18,C03129,P0268,2,23615.14,10,42507.25,30669.8,11837.45,PM004,S002,Delivered
O000034,2024-07-24,C04505,P0340,2,47957.56,10,86323.61,79891.82,6431.79,PM003,S002,Delivered
O000035,2024-08-05,C03002,P0354,1,20141.21,0,20141.21,14619.02,5522.19,PM002,S001,Delivered
O000036,2025-11-06,C02790,P0056,1,52127.98,15,44308.78,36838.35,7470.43,PM001,S003,Delivered
O000037,2025-03-11,C00654,P0049,1,43409.39,15,36897.98,32230.24,4667.74,PM003,S001,Delivered
O000038,2024-11-17,C02623,P0436,1,31579.31,15,26842.41,25591.4,1251.01,PM002,S001,Delivered
O000039,2024-08-18,C03557,P0395,4,34405.12,10,0.0,115648.16,0.0,PM003,S002,Cancelled
O000040,2025-12-11,C03393,P0027,1,32131.68,0,32131.68,20822.18,11309.5,PM003,S001,Delivered
O000041,2025-05-01,C04404,P0446,1,28183.0,20,22546.4,20088.81,2457.59,PM002,S001,Pending
O000042,2025-03-04,C00490,P0393,1,12268.04,20,9814.43,10053.23,-238.8,PM001,S003,Delivered
O000043,2025-12-26,C01345,P0082,1,41737.53,10,37563.78,25992.15,11571.63,PM005,S001,Delivered
O000044,2024-10-10,C00608,P0230,1,34533.43,20,27626.74,29852.37,-2225.63,PM005,S001,Returned
O000045,2025-04-30,C03592,P0036,3,60019.13,5,171054.52,109838.1,61216.42,PM001,S003,Delivered
O000046,2024-10-02,C04120,P0430,1,73911.25,10,66520.12,48441.56,18078.56,PM003,S002,Delivered
O000047,2025-03-08,C00753,P0220,1,14277.05,15,12135.49,10553.72,1581.77,PM001,S001,Delivered
O000048,2024-07-03,C03049,P0468,1,12846.19,10,11561.57,11116.28,445.29,PM004,S001,Delivered
O000049,2025-12-22,C04445,P0374,2,5389.35,20,8622.96,7182.74,1440.22,PM001,S001,Delivered
O000050,2025-09-24,C04121,P0234,1,31535.95,10,0.0,20133.03,0.0,PM005,S001,Cancelled
O000051,2024-08-03,C03462,P0157,2,45290.76,0,90581.52,76429.44,14152.08,PM003,S003,Delivered
O000052,2024-04-06,C01015,P0452,1,1846.56,15,1569.58,1257.74,311.84,PM001,S002,Delivered
O000053,2024-04-28,C04695,P0079,3,47621.91,15,121435.87,98290.83,23145.04,PM004,S001,Delivered
O000054,2024-12-30,C01769,P0297,1,54866.92,10,49380.23,47426.96,1953.27,PM003,S003,Delivered
O000055,2025-02-06,C04897,P0236,1,63236.51,10,56912.86,44390.08,12522.78,PM003,S001,Delivered
O000056,2025-09-09,C00959,P0028,2,32317.5,15,54939.75,50869.2,4070.55,PM001,S002,Delivered
O000057,2025-01-31,C01592,P0192,4,3263.59,15,11096.21,8229.88,2866.33,PM001,S001,Delivered
O000058,2025-04-02,C03262,P0488,1,30035.48,5,28533.71,25739.93,2793.78,PM005,S001,Returned
O000059,2024-11-13,C02589,P0152,2,21286.6,15,36187.22,29477.2,6710.02,PM003,S001,Returned
O000060,2025-01-16,C02539,P0101,1,8525.37,20,6820.3,6446.55,373.75,PM001,S002,Delivered
O000061,2024-05-21,C00791,P0400,3,64730.01,5,184480.53,123006.15,61474.38,PM001,S001,Delivered
O000062,2025-04-01,C04268,P0278,2,33649.93,10,60569.87,46804.78,13765.09,PM002,S002,Delivered
O000063,2025-05-15,C04017,P0047,4,31801.68,5,120846.38,77724.4,43121.98,PM001,S003,Delivered
O000064,2024-11-18,C04395,P0017,3,36825.06,0,110475.18,87133.74,23341.44,PM001,S001,Delivered
O000065,2024-09-24,C03099,P0385,1,72417.63,0,72417.63,44746.82,27670.81,PM001,S002,Delivered
O000066,2025-05-01,C00648,P0415,1,43255.74,15,36767.38,36419.99,347.39,PM003,S001,Delivered
